id,loc,lat,lng,time,zone
470,Arts & Crafts Store,40.71981038,-74.00258103,-240,Tue Apr 03 18:00:09 +0000 2012
979,Bridge,40.60679958,-74.04416981,-240,Tue Apr 03 18:00:25 +0000 2012
69,Home (private),40.71616168,-73.88307006,-240,Tue Apr 03 18:02:24 +0000 2012
395,Medical Center,40.7451638,-73.98251878,-240,Tue Apr 03 18:02:41 +0000 2012
87,Food Truck,40.74010383,-73.98965836,-240,Tue Apr 03 18:03:00 +0000 2012
484,Food & Drink Shop,40.69042712,-73.95468678,-240,Tue Apr 03 18:04:00 +0000 2012
642,Coffee Shop,40.75159143,-73.9741214,-240,Tue Apr 03 18:04:38 +0000 2012
292,Bus Station,40.77942173,-73.95534113,-240,Tue Apr 03 18:04:42 +0000 2012
428,Home (private),40.61915107,-74.0358876,-240,Tue Apr 03 18:06:18 +0000 2012
877,Bank,40.61900594,-73.99037473,-240,Tue Apr 03 18:06:19 +0000 2012
87,Gastropub,40.74348254,-73.994009,-240,Tue Apr 03 18:07:15 +0000 2012
625,Electronics Store,40.74260751,-73.99270535,-240,Tue Apr 03 18:08:57 +0000 2012
691,Medical Center,40.71976227,-74.250014,-240,Tue Apr 03 18:09:06 +0000 2012
116,Mobile Phone Shop,40.74119055,-73.9896631,-240,Tue Apr 03 18:09:29 +0000 2012
931,Café,40.7045885,-74.00963933,-240,Tue Apr 03 18:09:59 +0000 2012
53,Automotive Shop,40.8619815,-74.04790454,-240,Tue Apr 03 18:10:04 +0000 2012
445,Food & Drink Shop,40.82678954,-73.94950924,-240,Tue Apr 03 18:10:39 +0000 2012
135,Restaurant,40.75527488,-73.97880614,-240,Tue Apr 03 18:11:04 +0000 2012
895,Coffee Shop,40.906627,-73.777774,-240,Tue Apr 03 18:11:16 +0000 2012
704,American Restaurant,40.73067679,-74.0656718,-240,Tue Apr 03 18:11:35 +0000 2012
891,Government Building,40.88302033,-74.07587528,-240,Tue Apr 03 18:12:09 +0000 2012
284,Coffee Shop,40.74281621,-74.00040611,-240,Tue Apr 03 18:12:27 +0000 2012
901,Airport,40.64531729,-73.77383709,-240,Tue Apr 03 18:12:42 +0000 2012
803,Ferry,40.76067265,-74.00367709,-240,Tue Apr 03 18:13:12 +0000 2012
699,Office,40.736676,-73.98891,-240,Tue Apr 03 18:13:21 +0000 2012
100,Other Great Outdoors,40.79059947,-73.98023378,-240,Tue Apr 03 18:14:03 +0000 2012
642,Building,40.75230661,-73.97185432,-240,Tue Apr 03 18:14:21 +0000 2012
443,Office,40.65553514,-74.00862938,-240,Tue Apr 03 18:14:44 +0000 2012
689,Food & Drink Shop,40.74186151,-73.98943363,-240,Tue Apr 03 18:15:05 +0000 2012
390,Office,40.75094552,-74.00563392,-240,Tue Apr 03 18:15:07 +0000 2012
32,Mexican Restaurant,40.74773817,-73.98519815,-240,Tue Apr 03 18:15:33 +0000 2012
230,Music Venue,40.731698,-73.98922694,-240,Tue Apr 03 18:16:09 +0000 2012
445,Subway,40.82650767,-73.95039082,-240,Tue Apr 03 18:16:10 +0000 2012
834,Student Center,40.86283582,-74.19723988,-240,Tue Apr 03 18:16:19 +0000 2012
962,Park,40.74218831,-73.98792419,-240,Tue Apr 03 18:17:17 +0000 2012
1032,Road,40.90105787,-74.15076256,-240,Tue Apr 03 18:18:54 +0000 2012
525,Home (private),40.96324076,-74.0946311,-240,Tue Apr 03 18:19:07 +0000 2012
525,Home (private),40.96324076,-74.0946311,-240,Tue Apr 03 18:19:07 +0000 2012
962,Burger Joint,40.7414075,-73.98843795,-240,Tue Apr 03 18:19:21 +0000 2012
318,Subway,40.69743322,-73.9930433,-240,Tue Apr 03 18:19:25 +0000 2012
1047,Bank,40.77807781,-73.95449162,-240,Tue Apr 03 18:19:28 +0000 2012
738,Office,40.72817168,-74.00752187,-240,Tue Apr 03 18:21:27 +0000 2012
364,Sporting Goods Shop,40.77901409,-73.95403862,-240,Tue Apr 03 18:21:33 +0000 2012
398,Pizza Place,40.77615805,-73.82361593,-240,Tue Apr 03 18:23:40 +0000 2012
839,Jewelry Store,40.75062326,-73.99004187,-240,Tue Apr 03 18:24:02 +0000 2012
424,Sandwich Place,40.68892999,-73.9956665,-240,Tue Apr 03 18:24:38 +0000 2012
751,Coffee Shop,40.727612,-74.007306,-240,Tue Apr 03 18:24:51 +0000 2012
1047,Clothing Store,40.77843897,-73.95451458,-240,Tue Apr 03 18:24:58 +0000 2012
889,Neighborhood,40.92431191,-73.9968883,-240,Tue Apr 03 18:26:46 +0000 2012
612,Electronics Store,40.76391921,-73.97313996,-240,Tue Apr 03 18:27:43 +0000 2012
643,Medical Center,40.786713,-74.175476,-240,Tue Apr 03 18:31:32 +0000 2012
643,Medical Center,40.78690639,-74.17540497,-240,Tue Apr 03 18:32:11 +0000 2012
1032,Medical Center,40.88544,-74.13887,-240,Tue Apr 03 18:32:27 +0000 2012
