id,checkin,lat,lng,location
38996,2009-12-30T09:55:09Z,37.29415167,-121.9114613,294422
249,2009-12-11T17:12:49Z,37.40398458,-122.0981343,33610
6038,2009-11-23T15:04:42Z,35.47304823,-97.57168932,60826
539,2009-12-31T01:11:08Z,30.26898752,-97.72412715,166386
4632,2009-11-06T22:46:55Z,33.10153577,-96.86483808,61868
34534,2009-10-24T17:57:44Z,36.61798117,-121.9019533,17773
5179,2009-11-10T03:05:11Z,32.75136029,-97.34303534,66598
4663,2009-12-21T14:07:05Z,33.8456562,-84.399333,104672
47556,2009-10-26T16:57:15Z,36.77244387,-76.25227125,63851
48907,2009-12-10T11:43:42Z,51.03078618,5.372876,89232
